Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
23,OmiseGO,OMG,1363094610.71,13.3581,102042551.763,41297300.0,-0.94,11.93,3.73
24,Nano,XRB,1354682057.18,10.1666,133248289.22,55764700.0,-2.00,-6.85,-36.55
25,Populous,PPT,1262203656.96,34.1099,37004026.8944,13025400.0,0.36,4.46,-36.95
26,Steem,STEEM,1131932189.79,4.54244,249190344.79,62147800.0,-1.15,11.69,13.05
27,Binance Coin,BNB,984926912.9,9.94735,99014000.0,95858600.0,-3.56,17.74,6.69
28,Bytecoin,BCN,925831659.245,0.00503942,1.83717899926e+11,6730950.0,-1.83,15.08,11.78
29,Status,SNT,897824567.407,0.258703,3470483788.0,341355000.0,0.49,20.92,59.91
30,Verge,XVG,866455937.14,0.0594398,14577033185.5,29734200.0,-3.22,18.13,11.59
31,Stratis,STRAT,843833234.909,8.54648,98734594.2317,16280800.0,-0.66,19.13,-4.05
32,Siacoin,SC,842238770.894,0.026016,32373876495.0,27132100.0,-5.02,22.52,2.09
33,BitShares,BTS,706362744.42,0.270801,2608420000.0,28385000.0,-0.66,19.74,-13.20
34,Maker,MKR,688798470.063,1114.15,618227.770106,722157.0,-1.94,12.77,-0.77
35,Aeternity,AE,682216366.413,2.92771,233020472.114,8714960.0,0.17,5.33,13.36
36,Augur,REP,641121800.0,58.2838,11000000.0,6368040.0,-0.55,15.24,6.32
37,Walton,WTC,628248256.021,25.2327,24898178.0,8871200.0,0.17,15.06,3.73
38,Waves,WAVES,609998000.0,6.09998,100000000.0,25452900.0,-0.45,12.77,0.48
39,Veritaseum,VERI,597030390.863,293.144,2036645.44,122630.0,-0.88,9.66,-12.80
40,0x,ZRX,592685118.08,1.16861,507171013.495,10943200.0,-1.49,12.98,-6.23
41,Dogecoin,DOGE,587683690.039,0.00519463,1.1313292574e+11,12385000.0,0.24,17.85,17.53
42,KuCoin Shares,KCS,569148506.168,6.25142,91043076.0001,3438660.0,-1.30,10.99,-5.49
43,Hshare,HSR,556692466.764,13.0664,42604884.8011,81463400.0,-2.04,24.35,17.05
44,DigixDAO,DGD,554990000.0,277.495,2000000.0,17205200.0,1.63,-1.52,-32.53
45,Decred,DCR,545112519.351,81.0426,6726246.682,1796600.0,-1.55,10.75,2.64
46,Ardor,ARDR,535035158.537,0.535571,998999495.0,45230800.0,-1.16,13.26,10.38
47,RChain,RHOC,509627673.951,1.48076,344166288.9,856304.0,-5.14,8.02,-7.38
48,Komodo,KMD,479490819.487,4.64688,103185539.434,3997260.0,0.40,15.63,6.90
49,Revain,R,461023552.5,2.49945,184450000.0,12486500.0,0.61,34.04,76.86
50,Kyber Network,KNC,455760101.61,3.39783,134132696.93,10372700.0,-0.29,13.43,2.52
51,Ark,ARK,450626532.098,4.48229,100534890.0,7665200.0,-0.94,12.13,0.01
52,Electroneum,ETN,435124502.609,0.0712286,6108845360.0,2472920.0,-2.28,10.01,2.63
53,Dentacoin,DCN,420290352.101,0.0012923,3.25226613094e+11,803471.0,2.24,22.82,8.02
54,Gas,GAS,412155924.496,42.5861,9678179.60545,7343900.0,-2.94,6.04,-7.38
55,Loopring,LRC,406355887.409,0.724081,561202251.418,2441350.0,1.18,16.88,-4.09
56,Dragonchain,DRGN,401342804.26,1.68333,238421940.0,2341520.0,1.37,15.75,-5.54
57,Basic Attenti...,BAT,395683000.0,0.395683,1000000000.0,5664240.0,-0.61,8.55,-3.04
58,DigiByte,DGB,393930290.057,0.0401137,9820342926.65,9428010.0,-1.48,25.63,-0.85
59,Zilliqa,ZIL,392312341.615,0.0602724,6508988220.4,16555000.0,-0.83,6.38,-14.60
60,Bytom,BTM,362024691.0,0.366793,987000000.0,18208800.0,-0.19,26.72,10.47
61,Ethos,ETHOS,353264749.225,4.67274,75601199.5585,4764270.0,-2.18,13.90,24.44
62,ZClassic,ZCL,352763462.0,107.54,3280300.0,5273590.0,-1.27,16.06,6.35
63,PIVX,PIVX,349652337.273,6.29676,55528928.7305,16431900.0,-1.43,15.77,9.74
64,Byteball Bytes,GBYTE,345367363.054,535.269,645222.052938,731279.0,-2.87,25.93,-1.36
65,QASH,QASH,339854200.0,0.971012,350000000.0,4278500.0,-0.54,18.05,5.57
66,aelf,ELF,335467500.0,1.34187,250000000.0,46897700.0,-0.48,10.40,-12.92
67,Nebulas,NAS,314860505.0,8.86931,35500000.0,8193650.0,-0.88,16.44,0.73
68,E-coin,ECN,311295823.89,62.4938,4981227.31999,451915.0,4.00,47.43,1015.03
69,Pillar,PLR,305275463.24,1.34255,227384800.0,476964.0,-3.28,1.42,-0.72
70,Golem,GNT,302240608.67,0.362285,834262000.0,5603580.0,-1.11,15.43,0.10
71,IOStoken,IOST,301655083.468,0.0443995,6794109921.69,46410900.0,-2.63,20.74,0.52
72,Cryptonex,CNX,295825068.411,6.55827,45107180.4623,238955.0,-4.77,9.65,4.74
73,Dent,DENT,293886640.828,0.0276866,10614760961.2,4172390.0,-0.77,10.00,18.12
74,Power Ledger,POWR,292618563.914,0.804256,363837588.92,17968100.0,2.66,20.81,20.93
75,Syscoin,SYS,292134645.413,0.55032,530845045.452,4271520.0,-3.39,10.14,14.65
76,Bitcore,BTX,291482177.049,26.0974,11169012.1257,1592220.0,-0.98,12.67,11.27
77,GXShares,GXS,287880000.0,4.798,60000000.0,22279600.0,1.02,13.93,3.53
78,Cindicator,CND,285484942.135,0.197434,1445976590.33,5412800.0,-1.77,7.08,2.02
79,FunFair,FUN,285299677.384,0.063348,4503688788.66,7813330.0,0.31,4.68,19.64
80,MonaCoin,MONA,252033267.805,4.39713,57317674.8935,5600720.0,-1.62,19.89,9.12
81,SALT,SALT,251846621.642,4.75394,52976398.8696,4763380.0,-0.76,10.84,1.99
82,Factom,FCT,249497760.06,28.53,8745102.0,5509600.0,-1.16,13.13,-0.03
83,Enigma,ENG,242161617.668,3.23589,74836171.09,21605500.0,-3.12,36.52,19.37
84,Aion,AION,241785856.506,3.05032,79265734.9086,3383370.0,-1.99,11.72,-7.28
85,SmartCash,SMART,240240730.498,0.351265,683930168.1,306068.0,-2.00,12.23,2.91
86,Experience Po...,XP,223058670.038,0.00104333,2.13794935483e+11,1319440.0,8.21,49.55,93.94
87,Kin,KIN,222989804.878,0.000294922,7.56097560976e+11,283177.0,-4.38,8.88,-6.46
88,ZCoin,XZC,220132034.029,54.0757,4070812.47269,7044250.0,-0.59,10.80,0.93
89,Bancor,BNT,216773733.372,5.44119,39839397.884,7811490.0,-0.37,13.46,-4.45
90,Particl,PART,213564442.379,24.088,8866009.73013,463162.0,-1.31,20.43,8.99
91,Quantstamp,QSP,208015121.512,0.336968,617314170.819,12957000.0,-1.12,9.77,25.76
92,Nxt,NXT,207162617.87,0.20737,998999941.508,11276400.0,0.79,17.07,-3.00
93,MaidSafeCoin,MAID,205891435.154,0.454956,452552412.0,1815710.0,-0.44,15.96,8.25
94,SingularityNET,AGI,202805535.481,0.446272,454443782.0,1071950.0,-2.25,5.64,-15.63
95,ReddCoin,RDD,202795579.584,0.0070562,28740055495.0,2403390.0,2.27,19.83,0.51
96,Ignis,IGNIS,199217250.609,0.261734,761143950.0,21885400.0,-3.40,24.36,0.47
97,Request Network,REQ,198076005.386,0.308788,641462768.585,4207040.0,-1.64,11.44,-1.15
98,TenX,PAY,183153106.048,1.74996,104661310.0,4489300.0,-0.92,14.36,-5.42
99,Nexus,NXS,178538423.672,3.21578,55519476.9765,1074130.0,-2.90,5.82,-12.08
100,XPlay,XPA,177426000.0,0.177426,1000000000.0,1457230.0,-1.85,-0.43,25.21
101,Substratum,SUB,177183346.658,0.78368,226091448.88,7238750.0,0.34,24.54,14.43
102,Iconomi,ICN,174675087.293,1.75138,99735686.8829,1125240.0,-0.69,8.99,-5.92
103,Emercoin,EMC,166839436.333,4.04134,41283197.2398,982098.0,-1.55,7.44,-0.54
104,WAX,WAX,165500612.734,0.335732,492954537.351,4272380.0,-9.23,4.54,-1.40
105,DigitalNote,XDN,165248252.223,0.0239648,6895457179.82,14400700.0,-0.68,42.82,30.78
106,Civic,CVC,164327717.997,0.479509,342699966.0,11431800.0,-0.30,5.90,17.17
107,Neblio,NEBL,163305362.083,12.7556,12802640.5722,2006800.0,-0.64,13.37,0.67
108,Gnosis,GNO,163232996.43,147.777,1104590.0,523213.0,-1.04,9.08,-5.96
109,ChainLink,LINK,159749800.0,0.456428,350000000.0,4156580.0,-1.09,14.34,-3.97
110,GameCredits,GAME,156865526.946,2.43749,64355352.0,2126410.0,-0.52,9.64,-9.59
111,High Performa...,HPB,154035019.278,6.93333,22216600.0,13896500.0,-1.16,21.20,-6.73
112,Raiden Networ...,RDN,152221077.356,3.03538,50148936.0,4468910.0,-2.12,12.15,-0.27
113,PayPie,PPP,149754000.0,1.8152,82500000.0,267950.0,18.90,20.68,12.96
114,Vertcoin,VTC,148302689.119,3.46001,42861925.0,2462070.0,-0.61,13.05,12.57
115,BitcoinDark,BTCD,147434234.099,114.391,,22349.6,-2.04,12.42,11.67
116,Storm,STORM,147234159.599,0.0538373,2734798357.25,3941450.0,-0.16,45.16,22.06
117,MediBloc,MED,145066268.196,0.0489034,2966384100.0,1915400.0,-2.91,15.65,-5.56
118,Storj,STORJ,144885408.148,1.08589,133425492.59,10614600.0,0.05,15.52,8.70
119,Blocknet,BLOCK,144732197.175,28.9,5008034.50431,248715.0,-1.04,12.59,-0.81
120,Po.et,POE,142792999.794,0.0644167,2216707776.0,10062800.0,-3.78,21.18,6.20
121,SuperNET,UNITY,137974660.064,169.074,816060.7785,52987.8,0.45,14.73,48.74
122,Achain,ACT,136407600.0,0.454692,300000000.0,12825800.0,-5.65,18.74,18.39
123,Skycoin,SKY,130307208.574,17.7117,7357126.0,1198300.0,5.08,15.96,8.17
124,DEW,DEW,129039172.074,1.24984,103244552.962,357240.0,-1.12,12.15,-4.43
125,Aragon,ANT,127683505.859,4.78629,26676926.3581,485127.0,-0.50,12.15,-8.65
126,HTMLCOIN,HTML,127556980.342,0.00196182,65019716560.2,318896.0,0.13,14.56,-1.37
127,Time New Bank,TNB,127033872.035,0.0778574,1631622325.37,5415350.0,-2.25,16.57,6.78
128,Decentraland,MANA,126332268.978,0.120197,1051043445.16,19735300.0,-1.52,8.25,30.88
129,ZenCash,ZEN,126065197.723,39.5893,3184325.0,1140940.0,-1.42,3.64,2.22
130,Enjin Coin,ENJ,124763450.168,0.164989,756192535.064,1677120.0,-0.04,12.84,0.36
131,Bluzelle,BLZ,122053305.0,0.739717,165000000.0,26605400.0,-1.99,-2.90,
132,Ubiq,UBQ,119636465.165,3.02453,39555390.479,529851.0,-0.16,17.75,-6.62
133,SIRIN LABS Token,SRN,118853004.056,1.20127,98939459.119,18318600.0,2.06,7.64,-10.10
134,iExec RLC,RLC,118578515.081,1.49965,79070793.2388,5719460.0,-1.34,11.17,-11.73
135,Dynamic Tradi...,DTR,115089224.754,0.115408,997237841.0,54837.7,-0.79,8.52,5.49
136,Santiment Net...,SAN,111225918.071,1.77506,62660370.957,5589860.0,1.16,10.58,2.24
137,BridgeCoin,BCO,110829060.0,4.10478,27000000.0,62943.7,-0.62,14.56,3.21
138,AirSwap,AST,109245300.0,0.728302,150000000.0,2718560.0,0.67,19.06,-5.40
139,Agoras Tokens,AGRS,107794260.0,2.56653,42000000.0,180707.0,0.53,11.00,6.22
140,BLOCKv,VEE,107391705.282,0.0718353,1494971208.89,962605.0,-1.47,9.41,-6.93
141,SophiaTX,SPHTX,107297095.105,0.565912,189600317.903,401345.0,-1.10,20.72,-10.49
142,Bibox Token,BIX,105327795.726,1.00071,105253066.049,16371800.0,-1.57,20.16,-11.71
143,Monaco,MCO,104178673.832,7.89499,13195542.215,3854580.0,-1.65,16.72,-11.52
144,NAV Coin,NAV,104021240.905,1.66669,62411870.7766,946748.0,-0.22,16.03,-1.16
145,Red Pulse,RPX,103806187.576,0.191049,543348500.0,3357290.0,1.55,13.04,21.64
146,ETHLend,LEND,102094156.473,0.0978989,1042852948.02,4341970.0,-0.91,17.72,0.40
147,VIBE,VIBE,102088793.317,0.510693,199902472.36,4360830.0,-0.89,10.47,2.40
148,IoT Chain,ITC,97593887.5528,2.54632,38327424.5,10969100.0,-1.48,6.46,-18.07
149,CRYPTO20,C20,96355427.1065,2.44961,39335007.2487,2793050.0,-1.59,15.30,-1.10
150,PACcoin,PAC,94837266.8294,3.69164e-05,2.56897386607e+12,547309.0,2.23,62.56,-9.69
151,SingularDTV,SNGLS,93936600.0,0.156561,600000000.0,718605.0,-0.52,13.62,-10.55
152,Asch,XAS,93632026.2702,1.01145,92572076.0,1573070.0,-2.12,9.42,-2.90
153,Ripio Credit ...,RCN,92620971.1137,0.188817,490533008.753,4680930.0,-0.91,10.86,-0.70
154,DeepBrain Chain,DBC,91073700.0,0.101193,900000000.0,3723580.0,-5.93,15.23,3.50
155,MediShares,MDS,90694394.9769,0.187963,482511957.017,8552820.0,-0.96,10.84,4.25
156,Cobinhood,COB,90320724.6486,0.252776,357315269.838,822.886,-1.01,1.44,3.39
157,Peercoin,PPC,89117414.1192,3.62069,24613378.6983,786144.0,-0.85,9.19,7.03
158,XTRABYTES,XBY,88105710.0,0.204897,430000000.0,273375.0,-1.92,10.88,0.50
159,Einsteinium,EMC2,87755917.6739,0.405436,216448262.3,12288000.0,-1.31,20.33,10.88
160,Metal,MTL,87694259.2489,4.54351,19300994.0,23136400.0,-0.72,10.00,41.34
161,Simple Token,OST,86567898.0667,0.317227,272889439.003,4586390.0,-0.65,8.75,-2.30
162,CyberMiles,CMT,85693326.6438,0.193259,443411828.912,8666490.0,-1.27,9.81,-13.64
163,UTRUST,UTK,84780835.9652,0.319785,265118238.708,3181830.0,-0.67,7.64,-3.96
164,SONM,SNM,84602013.2,0.235267,359600000.0,1086960.0,-0.92,15.18,3.77
165,Ambrosus,AMB,83771817.7767,0.579371,144590975.0,980211.0,-0.46,7.88,-6.07
166,Counterparty,XCP,83728844.3667,31.9916,2617213.40498,1340330.0,-2.61,20.34,-2.30
167,BitBay,BAY,82283180.2336,0.0814899,1009734706.19,1846280.0,0.16,24.08,2.28
168,Theta Token,THETA,81177709.4287,0.14412,563264706.0,15382100.0,-0.93,16.98,-15.00
169,WaBi,WABI,79351927.621,1.75371,45248032.811,1546830.0,-1.85,15.98,-7.89
170,Edgeless,EDG,78357393.3848,0.955039,82046276.0,1505580.0,-0.78,17.76,10.65
171,Quantum Resis...,QRL,77438400.0,1.4892,52000000.0,681234.0,-2.08,9.87,15.83
172,Telcoin,TEL,77289143.4051,0.00368559,20970629778.4,1142150.0,-5.04,6.50,-6.33
173,AdEx,ADX,76323770.4083,1.26682,60248315.0,11762200.0,-0.09,16.26,0.81
174,SpankChain,SPANK,75626235.4847,0.252051,300043386.0,596383.0,-0.82,28.59,19.97
175,Centra,CTR,74527320.0,1.09599,68000000.0,8332440.0,-0.04,11.20,10.00
176,Trinity Netwo...,TNC,72630999.9274,0.217893,333333333.0,3780220.0,-2.91,8.32,-14.24
177,Nuls,NULS,71953718.5613,3.05343,23564882.3,5075190.0,-0.23,4.31,2.45
178,Triggers,TRIG,71826919.0618,2.23721,32105577.5103,4165980.0,0.04,42.24,29.81
179,Oyster,PRL,71788524.6865,1.04546,68666926.2205,4746450.0,-12.57,73.53,40.92
180,Viacoin,VIA,70779570.897,3.08004,22980081.7188,1427950.0,-2.09,15.90,4.61
181,Melon,MLN,70073456.4,116.906,599400.0,231058.0,-0.82,12.84,3.55
182,Streamr DATAcoin,DATA,70002202.1938,0.103377,677154514.0,989521.0,-0.49,17.65,-14.65
183,INS Ecosystem,INS,69936839.05,2.49739,28003971.7665,9643930.0,-2.62,13.02,-7.78
184,AppCoins,APPC,69239885.0459,0.692023,100054311.845,5746150.0,-3.10,15.13,-1.75
185,MobileGo,MGO,68260251.8637,0.696328,98028877.0,254529.0,0.69,11.45,57.87
186,Gulden,NLG,68149084.4888,0.173908,391868600.0,203373.0,1.43,7.20,5.55
187,Modum,MOD,66604775.708,3.64634,18266200.0,868209.0,-0.84,22.70,1.14
188,Tierion,TNT,66297621.3858,0.154727,428481269.499,5268250.0,-2.38,22.58,5.06
189,Eidoo,EDO,65379468.1618,2.23432,29261461.2776,1550720.0,-0.40,15.36,3.57
190,Unikoin Gold,UKG,63703593.7116,0.453654,140423304.35,991098.0,-2.23,16.01,-3.28
191,ION,ION,62992865.1784,3.21071,19619605.9994,2524260.0,0.40,13.29,8.20
192,Etherparty,FUEL,62634321.7897,0.129104,485146252.554,720958.0,-0.66,13.46,2.58
193,Genesis Vision,GVT,61453871.6843,16.4898,3726780.89997,1234410.0,0.24,21.42,4.29
194,Electra,ECA,60211306.1949,0.00262586,22930128108.5,78302.1,-3.52,5.91,2.07
195,LBRY Credits,LBC,59096541.1227,0.400661,147497613.001,1113270.0,-2.12,12.22,-3.51
196,Wings,WINGS,59026378.6557,0.657981,89708333.0,853218.0,-1.12,12.04,-18.23
197,Metaverse ETP,ETP,59008363.3082,1.58207,37298200.0216,2812150.0,-0.18,11.95,-15.90
198,NAGA,NGC,58412274.0965,1.01283,57672338.0,352399.0,-0.31,10.83,-3.99
199,CoinDash,CDT,58311908.5954,0.0895389,651246649.17,1415940.0,-0.97,24.92,1.06
200,Wagerr,WGR,57115398.0,0.312106,183000000.0,150282.0,-0.65,-3.78,0.04
201,OriginTrail,TRAC,56827476.2086,0.223284,254507605.599,220331.0,6.97,12.14,-17.91
202,Burst,BURST,55268091.9708,0.0306987,1800339818.0,1139120.0,-2.17,19.21,-1.78
203,ATMChain,ATM,55107875.5621,0.011825,4660285459.8,23238.6,0.49,9.49,-2.96
204,Internet Node...,INT,54973350.0,0.366489,150000000.0,2502820.0,-2.73,10.18,-16.01
205,Aeon,AEON,54391609.8595,3.51647,15467673.5077,162619.0,-0.84,23.06,16.57
206,indaHash,IDH,53893155.2513,0.134755,399934364.226,243834.0,7.64,1.44,-20.35
207,district0x,DNT,53362980.0,0.0889383,600000000.0,2942280.0,-1.06,18.82,-9.90
208,Bread,BRD,53242523.2016,0.889029,59888398.693,4812340.0,-2.08,6.50,-9.71
209,ECC,ECC,53142750.0,0.00212571,25000000000.0,54964.0,-0.99,14.49,15.38
210,QLINK,QLC,53081280.0,0.221172,240000000.0,1178150.0,-4.62,19.37,-5.72
211,adToken,ADT,52360680.0,0.0872678,600000000.0,5867920.0,-4.60,23.19,7.59
212,Energo,TSL,52277789.137,0.0898199,582029028.5,3889650.0,-3.07,61.12,52.89
213,CloakCoin,CLOAK,52195552.0426,10.3282,5053693.0,269598.0,-0.77,11.41,19.58
214,Mercury,MER,52063700.0,0.520637,100000000.0,26813700.0,-1.63,16.98,18.57
215,MinexCoin,MNX,50668200.0,16.8894,3000000.0,68777.2,2.94,8.48,5.95
216,DECENT,DCT,50659221.8299,0.987392,51306089.0,673347.0,-0.58,9.57,2.93
217,Decision Token,HST,50208856.6682,1.59736,31432398.8758,267669.0,-5.17,9.91,7.75
218,Cappasity,CAPP,49118569.3836,0.149243,329118078.46,254445.0,-0.32,8.79,-5.39
219,Hive,HVN,49047750.0,0.130794,375000000.0,74266.4,-2.40,17.71,13.97
220,SaluS,SLS,49029009.6392,48.5477,1009914.15946,302596.0,3.84,18.98,-1.80
221,Groestlcoin,GRS,48616807.7358,0.700559,69397163.8874,4269970.0,2.70,21.47,26.57
222,carVertical,CV,48350329.128,0.00934922,5171589622.24,871089.0,-1.46,4.12,33.13
223,Odyssey,OCN,48305600.0,0.0241528,2000000000.0,11171000.0,-4.32,3.99,-18.75
224,Datum,DAT,48045175.9839,0.0595792,806408544.994,6674530.0,0.12,7.41,2.33
225,Gifto,GTO,47748473.2999,0.302471,157861326.54,5595080.0,0.60,9.06,12.74
226,All Sports,SOC,47482203.3978,0.107926,439951479.697,5348420.0,-1.97,18.74,10.39
227,DeepOnion,ONION,47463625.9933,4.74624,10000258.3083,177843.0,-2.44,-1.36,-2.67
228,BitDegree,BDG,46007437.6846,0.132916,346139198.325,133184.0,-1.02,1.60,3.99
229,Lykke,LKK,45954218.4916,0.169832,270586335.27,44740.2,-0.34,-0.65,-16.20
230,TokenCard,TKN,45850505.292,1.87495,24454254.9359,120978.0,-0.42,11.20,-23.96
231,COSS,COSS,45816659.5325,0.709292,64594919.3456,518995.0,-2.67,4.63,2.21
232,Presearch,PRE,45395935.0,0.292877,155000000.0,37216.2,-1.18,3.14,-0.82
233,Safe Exchange...,SAFEX,45093996.7792,0.0292219,1543157590.0,104950.0,2.83,34.58,19.14
234,Viberate,VIB,44815780.3413,0.271666,164966467.432,4555500.0,0.57,10.76,-12.33
235,Pura,PURA,44764700.3831,0.25916,172729975.24,75738.1,1.01,13.76,-7.98
236,FirstBlood,1ST,44607139.8357,0.521365,85558370.5,1254200.0,2.07,17.91,-5.80
237,TaaS,TAAS,44195801.3886,5.42546,8146000.7794,263792.0,-0.53,9.39,-6.17
238,Crown,CRW,43438253.4707,2.53553,17131823.9069,84490.7,-1.45,6.26,-6.81
239,Qbao,QBT,43182900.0743,0.66078,65351403.0,6291870.0,-0.87,15.53,-33.56
240,Lunyr,LUN,43087272.8609,18.7511,2297853.07853,3271720.0,-1.13,8.45,-12.20
241,Ink,INK,43033293.25,0.241421,178250000.0,32642500.0,-0.36,13.94,-4.29
242,HempCoin,THC,41746156.7983,0.181128,230478759.763,377391.0,-1.27,18.91,0.50
243,Delphy,DPY,39604117.2128,1.30563,30333338.8577,1032330.0,-5.28,6.19,-17.45
244,Spectrecoin,XSPEC,39163802.4533,1.88421,20785264.0912,116477.0,1.37,21.49,5.14
245,Voxels,VOX,38979360.0,0.185616,210000000.0,5996730.0,-0.06,26.20,-2.24
246,Feathercoin,FTC,38923890.7691,0.203571,191205480.0,1081160.0,-3.73,27.28,14.26
247,Steem Dollars,SBD,38409607.7597,4.51713,8503099.924,26213300.0,-1.72,29.28,25.32
248,I/O Coin,IOC,38070769.7714,2.30374,16525636.4743,63465.0,-2.64,12.47,-4.67
249,Mooncoin,MOON,38017601.7525,0.000170096,2.23506735917e+11,29569.7,13.78,24.95,19.02
250,SwftCoin,SWFTC,37788975.0,0.0215937,1750000000.0,25744900.0,1.27,19.27,-4.34
251,Namecoin,NMC,37583714.56,2.5504,14736400.0,204128.0,-1.00,12.31,-9.55
252,Shift,SHIFT,37498339.4811,3.20423,11702761.5,1329640.0,-4.13,13.89,-5.00
253,Cofound.it,CFI,37216400.0,0.114512,325000000.0,582540.0,-0.65,16.37,-3.08
254,PotCoin,POT,36804602.0748,0.167788,219351813.448,345806.0,-1.11,18.37,6.24
255,Lamden,TAU,36738020.2004,0.258326,142215728.19,200228.0,-2.12,37.16,13.31
256,Monetha,MTH,36233465.6353,0.166995,216973356.3,713521.0,-0.76,15.71,-3.02
257,WeTrust,TRST,36083855.23,0.391588,92147500.0,287677.0,-1.31,7.18,0.28
258,bitCNY,BITCNY,35978512.92,0.171928,209265000.0,52718700.0,-0.20,-1.75,10.16
259,YOYOW,YOYOW,35899927.789,0.155118,231436247.173,1303090.0,-0.69,16.97,-4.42
260,Blocktix,TIX,35669440.0,0.891736,40000000.0,12398600.0,2.34,19.43,9.46
261,Diamond,DMD,35362762.042,13.3869,2641594.54706,31437.8,-1.49,11.22,-1.11
262,Pepe Cash,PEPECASH,35133155.0125,0.0500555,701884009.0,285465.0,-0.25,8.20,-2.14
263,Bloom,BLT,34318689.6106,0.869196,39483257.6434,934012.0,-1.27,6.41,2.79
264,SIBCoin,SIB,33992422.8918,2.08165,16329557.2703,343658.0,-0.63,16.82,6.37
265,Nimiq,NET,33699225.0,3.20945,10500000.0,137743.0,-0.31,9.21,-1.14
266,Karma,KRM,33424385.6138,0.0332444,1005414013.0,121747.0,-1.53,19.69,-2.30
267,Everex,EVX,33128205.0,2.00777,16500000.0,3878060.0,0.22,15.95,-10.49
268,Selfkey,KEY,33037582.8219,0.017597,1877455408.41,781052.0,-1.88,13.98,-23.33
269,Humaniq,HMQ,32996683.9134,0.202604,162862944.036,695797.0,-1.66,15.76,5.02
270,WhiteCoin,XWC,32955538.2512,0.132508,248706027.193,84848.3,2.86,14.26,11.80
271,InsurePal,IPL,32674359.0,0.162559,,42608.5,-0.79,-0.85,-20.52
272,Dimecoin,DIME,32239063.279,5.9802e-05,5.3909674056e+11,85035.2,2.21,10.72,0.49
273,Synereo,AMP,31878931.9041,0.387556,82256324.0,588688.0,1.74,19.37,9.65
274,Trade Token,TIO,31851841.1818,0.377904,84285535.961,556759.0,-0.22,10.75,-24.38
275,Flash,FLASH,31809330.0,0.0353437,900000000.0,48956.8,1.27,33.00,-6.03
276,Worldcore,WRC,30615759.6186,0.174838,175109299.0,1972030.0,-4.82,13.57,-3.18
277,Agrello,DLT,30391898.0069,0.353481,85978873.0,445551.0,-2.10,9.57,-15.86
278,Maecenas,ART,30176079.2768,1.00086,30150150.1476,1013.26,5.54,11.40,44.71
279,SunContract,SNC,30095388.5753,0.26312,114378947.154,6308120.0,-0.92,9.29,-25.57
280,Rise,RISE,30058256.96,0.265675,113139200.0,24686200.0,-8.42,79.03,20.32
281,FairCoin,FAIR,29671572.3878,0.557801,53193831.47,10583.2,0.17,12.75,6.35
282,VeriCoin,VRC,29337707.2385,0.952797,30791141.4903,820239.0,-2.26,17.76,-2.40
283,NoLimitCoin,NLC2,29188400.7491,0.142077,205440716.999,25450.3,1.95,11.93,-5.21
284,iXledger,IXT,29077752.6124,0.812708,35778843.8312,786414.0,-0.81,4.88,17.15
